session_id,t_ms,frame_id,radar_type,frame_len,data_len,frame_hex
radar_s001,0,16923,0x0a04,29,20,01421B00140A04BD0100000042AB24BCBF70DE3E0000000000000000A0
radar_s001,1,16924,0x0a18,11,2,01421C00020A18B00100FE
radar_s001,1,16925,0x0a16,17,8,01421D00080A16B5010000008FC20942F8
radar_s001,2,16926,0x0f09,11,2,01421E00020F09A60100FE
radar_s001,4,16927,0x0a17,17,8,01421F00080A17B65445FFBA4AA9DC3EAA
radar_s001,6,16928,0x0a13,21,12,014220000C0A138900AF5E3EB01D583FD0CC51BE09
radar_s001,7,16929,0x0a14,13,4,01422100040A148700006041DE
radar_s001,10,16930,0x0100,33,24,01422200180100876272656174682072617465203D2031342E30303030303020E3
radar_s001,43,16931,0x0a38,10,1,01422300010A38AC01FE
radar_s001,70,16932,0x0a13,21,12,014224000C0A138D00861D3EA007613F681B8E3E60
radar_s001,100,16933,0x0a38,10,1,01422500010A38AA01FE
radar_s001,102,16934,0x0a04,29,20,01422600140A04800100000042AB24BCBF70DE3E0000000000000000A0
radar_s001,103,16935,0x0a18,11,2,01422700020A188B0100FE
radar_s001,105,16936,0x0a16,17,8,01422800080A1680010000008FC20942F8
radar_s001,106,16937,0x0f09,11,2,01422900020F09910100FE
radar_s001,107,16938,0x0a17,17,8,01422A00080A1783EC93C4BB048DDD3E95
radar_s001,110,16939,0x0a13,21,12,01422B000C0A138260D186BE0412673F8B193C3FA9
radar_s001,111,16940,0x0a14,13,4,01422C00040A148A00006041DE
radar_s001,114,16941,0x0100,33,24,01422D00180100886272656174682072617465203D2031342E30303030303020E3
radar_s001,147,16942,0x0a38,10,1,01422E00010A38A101FE
radar_s001,171,16943,0x0a13,21,12,01422F000C0A1386C0B0B5BE30246A3F8A43853FB6
radar_s001,204,16944,0x0a38,10,1,01423000010A38BF01FE
radar_s001,207,16945,0x0a04,29,20,01423100140A049701000000BAC2A6BC06C9D83E0000000000000000B5
radar_s001,210,16946,0x0a18,11,2,01423200020A189E0100FE
radar_s001,211,16947,0x0a16,17,8,01423300080A169B010000008FC20942F8
radar_s001,211,16948,0x0f09,11,2,01423400020F098C0100FE
radar_s001,212,16949,0x0a17,17,8,01423500080A179CB5E757BC052BDB3E8D
radar_s001,214,16950,0x0a13,21,12,014236000C0A139FF0E151BF98346A3F3C5B8D3F2C
radar_s001,215,16951,0x0a14,13,4,01423700040A149100006041DE
radar_s001,219,16952,0x0100,33,24,014238001801009D6272656174682072617465203D2031342E30303030303020E3
radar_s001,220,16953,0x0a15,13,4,01423900040A159E0000B0420D
radar_s001,222,16954,0x0100,32,23,01423A001701009068656172742072617465203D2038382E3030303030302084
radar_s001,255,16955,0x0a38,10,1,01423B00010A38B401FE
radar_s001,281,16956,0x0a13,21,12,01423C000C0A1395406CDC3EB846673FC7A4693FA2
radar_s001,313,16957,0x0a38,10,1,01423D00010A38B201FE
radar_s001,316,16958,0x0a04,29,20,01423E00140A049801000000AD9E9EBBF98AC53E000000000000000060
radar_s001,317,16959,0x0a18,11,2,01423F00020A18930100FE
radar_s001,320,16960,0x0a16,17,8,01424000080A16E8010000008FC20942F8
radar_s001,320,16961,0x0f09,11,2,01424100020F09F90100FE
radar_s001,321,16962,0x0a17,17,8,01424200080A17EB869B13BCFF5AD03E06
radar_s001,323,16963,0x0a13,21,12,014243000C0A13EAD002453F526D613F2CB00B3F9E
radar_s001,324,16964,0x0a14,13,4,01424400040A14E200006041DE
radar_s001,327,16965,0x0100,33,24,01424500180100E06272656174682072617465203D2031342E30303030303020E3
radar_s001,360,16966,0x0a38,10,1,01424600010A38C901FE
radar_s001,385,16967,0x0a13,21,12,014247000C0A13EE4026C5BE06CF583F2CE7103EA9
radar_s001,420,16968,0x0a38,10,1,01424800010A38C701FE
