session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s006,28,phase,,,-0.013,0.165,0.019,,,1
radar_s006,62,human_position,,,,,,,,1
radar_s006,64,target_range,,34.440,,,,,,1
radar_s006,65,human_status,1,,,,,,,1
radar_s006,68,track_position,,,,,,,,1
radar_s006,69,phase,,,0.237,0.153,0.159,,,1
radar_s006,70,breath_rate,,,,,,20.000,,1
radar_s006,73,text,,,,,,,,1
radar_s006,131,phase,,,0.343,0.139,0.299,,,1
radar_s006,169,human_position,,,,,,,,1
radar_s006,170,target_range,,34.440,,,,,,1
radar_s006,170,human_status,1,,,,,,,1
radar_s006,171,track_position,,,,,,,,1
radar_s006,173,phase,,,0.468,0.121,0.369,,,1
radar_s006,174,breath_rate,,,,,,20.000,,1
radar_s006,179,text,,,,,,,,1
radar_s006,235,phase,,,0.156,0.101,0.311,,,1
radar_s006,271,human_position,,,,,,,,1
radar_s006,273,target_range,,34.440,,,,,,1
radar_s006,274,human_status,1,,,,,,,1
radar_s006,279,track_position,,,,,,,,1
radar_s006,279,phase,,,0.144,0.080,0.116,,,1
radar_s006,280,breath_rate,,,,,,20.000,,1
radar_s006,282,text,,,,,,,,1
radar_s006,283,heart_rate,,,,,,,89.000,1
radar_s006,287,text,,,,,,,,1
radar_s006,347,phase,,,0.045,0.058,-0.166,,,1
radar_s006,383,human_position,,,,,,,,1
radar_s006,388,target_range,,34.440,,,,,,1
radar_s006,388,human_status,1,,,,,,,1
radar_s006,389,track_position,,,,,,,,1
radar_s006,390,phase,,,-0.341,0.036,-0.441,,,1
radar_s006,391,breath_rate,,,,,,20.000,,1
radar_s006,394,text,,,,,,,,1
radar_s006,451,phase,,,0.086,0.015,-0.604,,,1
radar_s006,488,human_position,,,,,,,,1
radar_s006,489,target_range,,34.440,,,,,,1
radar_s006,490,human_status,1,,,,,,,1
radar_s006,492,track_position,,,,,,,,1
radar_s006,494,phase,,,-0.056,-0.005,-0.589,,,1
radar_s006,495,breath_rate,,,,,,20.000,,1
radar_s006,498,text,,,,,,,,1
radar_s006,557,phase,,,-0.074,-0.024,-0.394,,,1
radar_s006,591,human_position,,,,,,,,1
radar_s006,594,target_range,,34.440,,,,,,1
radar_s006,595,human_status,1,,,,,,,1
radar_s006,598,track_position,,,,,,,,1
radar_s006,599,phase,,,-0.129,-0.040,-0.083,,,1
radar_s006,600,breath_rate,,,,,,20.000,,1
