session_id,t_ms,frame_id,radar_type,frame_len,data_len,frame_hex
radar_s001,0,15332,0x0a13,21,12,013BE4000C0A133400ED1CBE80480EBD3C63B43D1D
radar_s001,72,15344,0x0a38,10,1,013BF000010A380601FE
radar_s001,137,15346,0x0a38,10,1,013BF200010A380401FE
radar_s001,202,15355,0x0a13,21,12,013BFB000C0A132B00A812BEA075B4BDA8B20B3D0B
radar_s001,274,15364,0x0a38,10,1,013C0400010A38F501FE
radar_s001,339,15366,0x0a38,10,1,013C0600010A38F701FE
radar_s001,404,15375,0x0a13,21,12,013C0F000C0A13D800791ABE20E204BE00B24E3C9A
radar_s001,476,15384,0x0a38,10,1,013C1800010A38E901FE
radar_s001,541,15386,0x0a38,10,1,013C1A00010A38EB01FE
radar_s001,606,15396,0x0a38,10,1,013C2400010A38D501FE
radar_s001,671,15403,0x0a13,21,12,013C2B000C0A13FC002C17BDA0492ABEBF90B3BE26
radar_s001,743,15408,0x0a38,10,1,013C3000010A38C102FD
radar_s001,808,15416,0x0a38,10,1,013C3800010A38C902FD
radar_s001,873,15423,0x0a13,21,12,013C3F000C0A13E80046013E00A33EBE7C83363F53
radar_s001,945,15428,0x0a38,10,1,013C4400010A38B502FD
radar_s001,1010,15436,0x0a38,10,1,013C4C00010A38BD02FD
radar_s001,1076,15443,0x0a13,21,12,013C53000C0A13840059363E509148BE94469DBE68
radar_s001,1148,15449,0x0a13,21,12,013C59000C0A138E00442CBE006B49BEE766D7BE5D
radar_s001,1220,15458,0x0a38,10,1,013C6200010A389302FD
radar_s001,1285,15460,0x0a38,10,1,013C6400010A389502FD
radar_s001,1350,15469,0x0a13,21,12,013C6D000C0A13BA0028593D1C1448BEA824EB3C16
radar_s001,1422,15478,0x0a38,10,1,013C7600010A388702FD
radar_s001,1487,15480,0x0a38,10,1,013C7800010A388902FD
radar_s001,1552,15490,0x0a38,10,1,013C8200010A387302FD
radar_s001,1618,15500,0x0a38,10,1,013C8C00010A387D02FD
radar_s001,1683,15502,0x0a38,10,1,013C8E00010A387F02FD
radar_s001,1748,15511,0x0a13,21,12,013C97000C0A1340004025BDF6AC37BE940C9A3CCA
radar_s001,1820,15520,0x0a38,10,1,013CA000010A385102FD
radar_s001,1885,15522,0x0a38,10,1,013CA200010A385302FD
radar_s001,1950,15531,0x0a13,21,12,013CAB000C0A137C00ECD4BDC7CF27BEB66CF63DFA
radar_s001,2022,15540,0x0a38,10,1,013CB400010A384502FD
radar_s001,2087,15542,0x0a38,10,1,013CB600010A384702FD
radar_s001,2153,15553,0x0a13,21,12,013CC1000C0A131600D762BE4E170DBE3C077FBDE7
radar_s001,2225,15562,0x0a38,10,1,013CCA00010A383B02FD
radar_s001,2290,15564,0x0a38,10,1,013CCC00010A383D02FD
radar_s001,2355,15573,0x0a13,21,12,013CD5000C0A130200D5653ED0D5CBBDE222F4BB8D
radar_s001,2427,15581,0x0100,32,23,013CDD00170100096272656174682072617465203D20312E30303030303020D7
radar_s001,2499,15584,0x0a38,10,1,013CE000010A381102FD
radar_s001,2564,15592,0x0a38,10,1,013CE800010A381902FD
radar_s001,2629,15599,0x0a13,21,12,013CEF000C0A133800C9523EC0E52DBDE4C8E5BD9B
radar_s001,2701,15605,0x0a13,21,12,013CF5000C0A1322001018BDD03D00BDDAE9B1BD25
radar_s001,2773,15614,0x0a38,10,1,013CFE00010A380F02FD
radar_s001,2838,15621,0x0a13,21,12,013D05000C0A13D3006F053E00588DB9D64CF13D91
radar_s001,2910,15626,0x0a38,10,1,013D0A00010A38FA02FD
radar_s001,2975,15634,0x0a38,10,1,013D1200010A38E202FD
radar_s001,3040,15641,0x0a13,21,12,013D19000C0A13CF002434BD8056053D609F61BB99
radar_s001,3112,15646,0x0a38,10,1,013D1E00010A38EE02FD
radar_s001,3178,15656,0x0a38,10,1,013D2800010A38D802FD
radar_s001,3243,15663,0x0a13,21,12,013D2F000C0A13F9002011BE4073523DDB5D183D8F
radar_s001,3315,15668,0x0a38,10,1,013D3400010A38C402FD
radar_s001,3380,15676,0x0a38,10,1,013D3C00010A38CC02FD
