session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
session_0006,0,phase,,,0.261,-0.213,-0.207,,,1
session_0006,842,phase,,,-0.750,0.173,0.180,,,0
session_0006,1682,0x0a38,,,-0.750,0.173,0.180,,,0
session_0006,2505,0x0a38,,,-0.750,0.173,0.180,,,0
session_0006,3319,0x0a38,,,-0.750,0.173,0.180,,,0
session_0006,4141,0x0a38,,,-0.750,0.173,0.180,,,0
session_0006,4970,0x0a38,,,-0.750,0.173,0.180,,,0
session_0006,5793,phase,,,-0.163,0.105,0.003,,,0
session_0006,6624,0x0a38,,,-0.163,0.105,0.003,,,0
session_0006,7448,0x0a38,,,-0.163,0.105,0.003,,,0
session_0006,8270,0x0a38,,,-0.163,0.105,0.003,,,0
session_0006,9097,0x0a38,,,-0.163,0.105,0.003,,,0
session_0006,9924,0x0a38,,,-0.163,0.105,0.003,,,0
session_0006,10729,breath_rate,,,-0.163,0.105,0.003,19.000,,0
session_0006,11555,0x0a38,,,-0.163,0.105,0.003,19.000,,0
session_0006,12379,0x0a38,,,-0.163,0.105,0.003,19.000,,0
session_0006,13192,0x0a38,,,-0.163,0.105,0.003,19.000,,0
session_0006,14019,0x0a38,,,-0.163,0.105,0.003,19.000,,0
session_0006,14827,phase,,,-0.345,0.136,0.119,19.000,,0
session_0006,15656,0x0a38,,,-0.345,0.136,0.119,19.000,,0
session_0006,16480,phase,,,-0.155,-0.047,-0.435,19.000,,0
