device,tick_ms,sequence,valid,block_index,sample_index,left,right,sample_count,min,max,peak_abs,mean_abs,frame_id,radar_type,frame_len,data_len,driver_drop,msg_drop,frame_hex,radar_decoded
mic,41951,60,1,4,80,10,9,,,,,,,,,,20874,18156,,
mic,41951,60,1,4,81,-39,-13,,,,,,,,,,20876,18156,,
mic,41951,60,1,4,82,-39,-70,,,,,,,,,,20879,18156,,
mic,41951,60,1,4,83,-48,-52,,,,,,,,,,20881,18156,,
mic,41951,60,1,4,84,-33,-57,,,,,,,,,,20883,18156,,
mic,41951,60,1,4,85,-39,-22,,,,,,,,,,20885,18156,,
mic,41951,60,1,4,86,-57,-50,,,,,,,,,,20888,18156,,
mic,41951,60,1,4,87,-133,-76,,,,,,,,,,20890,18156,,
mic,41951,60,1,4,88,-90,-106,,,,,,,,,,20892,18156,,
mic,41951,60,1,4,89,-113,-142,,,,,,,,,,20895,18156,,
mic,41951,60,1,4,90,-105,-115,,,,,,,,,,20897,18156,,
mic,41951,60,1,4,91,-114,-106,,,,,,,,,,20899,18156,,
mic,41951,60,1,4,92,-143,-138,,,,,,,,,,20902,18156,,
mic,41951,60,1,4,93,-132,-165,,,,,,,,,,20904,18156,,
mic,41951,60,1,4,94,-191,-213,,,,,,,,,,20906,18156,,
mic,41951,60,1,4,95,-164,-193,,,,,,,,,,20909,18156,,
mic,41951,60,1,4,96,-141,-155,,,,,,,,,,20911,18156,,
mic,41951,60,1,4,97,-150,-140,,,,,,,,,,20913,18156,,
mic,41951,60,1,4,98,-169,-109,,,,,,,,,,20916,18156,,
mic,41951,60,1,4,99,-158,-144,,,,,,,,,,20918,18156,,
mic,41951,60,1,4,100,-109,-122,,,,,,,,,,20920,18156,,
mic,41951,60,1,4,101,-106,-149,,,,,,,,,,20923,18156,,
mic,41951,60,1,4,102,-98,-92,,,,,,,,,,20925,18156,,
mic,41951,60,1,4,103,-118,-117,,,,,,,,,,20928,18156,,
mic,41951,60,1,4,104,-150,-141,,,,,,,,,,20930,18156,,
mic,41951,60,1,4,105,-159,-161,,,,,,,,,,20932,18156,,
mic,41951,60,1,4,106,-161,-199,,,,,,,,,,20935,18156,,
