device,tick_ms,sequence,valid,block_index,sample_index,left,right,sample_count,min,max,peak_abs,mean_abs,frame_id,radar_type,frame_len,data_len,driver_drop,msg_drop,frame_hex,radar_decoded
radar,42689,21,1,3,,,,,,,,,1027,0x0a38,10,1,22,16,01040300010A38CA00FF,
radar,43433,22,1,4,,,,,,,,,1091,0x0a38,10,1,23,17,01044300010A388A00FF,
radar,44187,23,1,5,,,,,,,,,1154,0x0a38,10,1,24,18,01048200010A384B00FF,
radar,44915,24,1,0,,,,,,,,,1217,0x0a38,10,1,25,19,0104C100010A380800FF,
radar,45649,25,1,1,,,,,,,,,1280,0x0a38,10,1,26,20,01050000010A38C800FF,
radar,46391,26,1,2,,,,,,,,,1351,0x0a38,10,1,27,21,01054700010A388F00FF,
radar,47129,27,1,3,,,,,,,,,1414,0x0a38,10,1,28,22,01058600010A384E00FF,
radar,47865,28,1,4,,,,,,,,,1478,0x0a38,10,1,29,23,0105C600010A380E00FF,
radar,48598,29,1,5,,,,,,,,,1549,0x0a38,10,1,30,24,01060D00010A38C600FF,
radar,49341,30,1,0,,,,,,,,,1612,0x0a38,10,1,31,25,01064C00010A388700FF,
radar,50074,31,1,1,,,,,,,,,1676,0x0a38,10,1,32,26,01068C00010A384700FF,
radar,50822,32,1,2,,,,,,,,,1739,0x0a38,10,1,33,27,0106CB00010A380000FF,
radar,51551,33,1,3,,,,,,,,,1802,0x0a38,10,1,34,28,01070A00010A38C000FF,
radar,52282,34,1,4,,,,,,,,,1873,0x0a38,10,1,35,29,01075100010A389B00FF,
radar,53024,35,1,5,,,,,,,,,1936,0x0a38,10,1,36,30,01079000010A385A00FF,
radar,53776,36,1,0,,,,,,,,,2000,0x0a38,10,1,37,31,0107D000010A381A00FF,
radar,54487,37,1,1,,,,,,,,,2064,0x0a38,10,1,38,32,01081000010A38D500FF,
radar,55224,38,1,2,,,,,,,,,2135,0x0a38,10,1,39,33,01085700010A389200FF,
radar,55969,39,1,3,,,,,,,,,2198,0x0a38,10,1,40,34,01089600010A385300FF,
radar,56713,40,1,4,,,,,,,,,2262,0x0a38,10,1,41,35,0108D600010A381300FF,
radar,57438,41,1,5,,,,,,,,,2325,0x0a38,10,1,42,36,01091500010A38D100FF,
radar,58183,42,1,0,,,,,,,,,2402,0x0a38,10,1,43,37,01096200010A38A601FE,
radar,58915,43,1,1,,,,,,,,,2474,0x0a38,10,1,44,38,0109AA00010A386E02FD,
radar,59647,44,1,2,,,,,,,,,2551,0x0f09,11,2,45,39,0109F700020F09040100FE,human_present=1
radar,60388,45,1,3,,,,,,,,,2631,0x0a38,10,1,46,40,010A4700010A388002FD,
radar,61145,46,1,4,,,,,,,,,2704,0x0a13,21,12,47,41,010A90000C0A1371409E9CBED05F973D4A9DBEBEF1,total_phase=-0.306;breath_phase=0.074;heart_phase=-0.372
radar,61889,47,1,5,,,,,,,,,2779,0x0a38,10,1,48,42,010ADB00010A381C02FD,
radar,62618,48,1,0,,,,,,,,,2851,0x0a38,10,1,49,43,010B2300010A38E502FD,
radar,63347,49,1,1,,,,,,,,,2930,0x0a13,21,12,50,44,010B72000C0A13923011BF3F00817C3D30A29B3EA9,total_phase=1.493;breath_phase=0.062;heart_phase=0.304
radar,64078,50,1,2,,,,,,,,,3005,0x0a38,10,1,51,45,010BBD00010A387B02FD,
radar,64835,51,1,3,,,,,,,,,3079,0x0a38,10,1,52,46,010C0700010A38C602FD,
radar,65570,52,1,4,,,,,,,,,3153,0x0a38,10,1,53,47,010C5100010A389002FD,
radar,66307,53,1,5,,,,,,,,,3229,0x0a38,10,1,54,48,010C9D00010A385C02FD,
radar,67029,54,1,0,,,,,,,,,3303,0x0a38,10,1,55,49,010CE700010A382602FD,
radar,67787,55,1,1,,,,,,,,,3383,0x0a38,10,1,56,50,010D3700010A38F702FD,
radar,68539,56,1,2,,,,,,,,,3457,0x0a38,10,1,57,51,010D8100010A384102FD,
radar,69278,57,1,3,,,,,,,,,3530,0x0a13,21,12,58,52,010DCA000C0A132C00522CBEAC95CD3EAADDF9BEC5,total_phase=-0.168;breath_phase=0.402;heart_phase=-0.488
